tracking_id	shCtrl-1_0	shCtrl-2_0	shU-1_0	shU-2_0
ENSMUSG00000000776.5	13.8492	13.5053	17.1326	15.6728
ENSMUSG00000000782.8	0.326375	0.366752	0.546766	0.805503
ENSMUSG00000000787.6	207.788	199.051	302.812	292.086
ENSMUSG00000000791.7	0.129586	0.0624215	0.0418708	0.0416384
ENSMUSG00000000792.2	0.0876336	0.0366883	0.116759	0.103193
ENSMUSG00000000794.7	0.0656149	0.0124325	0	0
ENSMUSG00000000804.8	19.8635	18.4808	18.9031	20.7684
ENSMUSG00000000805.11	0	0	0	0
ENSMUSG00000000811.7	2.91421	3.35538	3.69047	3.152
ENSMUSG00000000817.8	0	0.0524666	0	0.0567894
ENSMUSG00000000823.9	12.0515	12.4847	12.4534	12.2879
ENSMUSG00000000826.10	46.4692	46.4928	86.8794	82.4402
ENSMUSG00000000827.10	85.704	83.2732	80.2614	68.4916
ENSMUSG00000000838.10	25.5233	26.599	21.2278	21.1132
ENSMUSG00000000861.9	0	0.00572471	0	0
ENSMUSG00000000869.6	0	0	0	0.343539
ENSMUSG00000000876.5	9.42627	10.9393	3.93247	3.93985
ENSMUSG00000000881.6	2.6861	3.36759	1.92796	1.86007
ENSMUSG00000000884.9	1.33393	1.80299	2.96698	2.15055
ENSMUSG00000000889.7	0.028923	0.0284264	0	0.0170667
ENSMUSG00000000901.8	6.44491	5.66849	11.023	9.94065
ENSMUSG00000000902.6	26.3486	25.9147	24.915	23.547
ENSMUSG00000000903.3	0	0	0	0
ENSMUSG00000000915.9	23.9851	23.9353	22.968	22.008
ENSMUSG00000000916.9	7.27187	6.02531	8.75598	6.60194
ENSMUSG00000000934.8	8.5825	9.4161	10.529	9.378
ENSMUSG00000000938.9	0.621072	0.454571	0.189299	0.259297
ENSMUSG00000000942.9	0.0215847	0.0750559	0.0513644	0
ENSMUSG00000000948.9	5.4858	4.58932	5.8162	5.33857
ENSMUSG00000000957.8	63.9434	63.4384	59.7185	58.3067
ENSMUSG00000000958.4	14.6523	13.4932	2.40087	2.41994
ENSMUSG00000000959.5	8.26816	8.40844	11.2131	13.0573
ENSMUSG00000000976.7	9.39935	9.68483	9.45616	11.1143
ENSMUSG00000000982.5	0.108561	0.0619339	0	0
ENSMUSG00000000983.7	0	0	0.363352	0.367811
ENSMUSG00000001014.5	1.3808	1.51767	0.725635	0.881723
ENSMUSG00000001016.8	30.6585	30.0099	51.9743	48.3381
ENSMUSG00000001017.9	57.5216	55.8431	70.9104	68.9931
ENSMUSG00000001018.7	37.9444	38.3725	40.7849	40.3608
ENSMUSG00000001020.7	5.21743	5.99079	17.0232	12.6773
ENSMUSG00000001021.8	8.67322	9.92612	24.8585	23.059
ENSMUSG00000001023.4	0	0	0	0
ENSMUSG00000001025.4	1657.72	1725.38	3911.83	3800.86
ENSMUSG00000001027.7	0.00930319	0.0103538	0	0
ENSMUSG00000001029.9	0	0	0	0
ENSMUSG00000001034.10	5.08375	6.36681	8.36784	9.85417
ENSMUSG00000001036.10	41.6288	43.8467	46.6696	43.9878
ENSMUSG00000001039.5	37.2676	33.3574	70.1271	59.4805
ENSMUSG00000001052.8	7.74894	8.51509	11.2787	15.9429
ENSMUSG00000001053.9	2.38875	2.71752	1.22869	1.35274
ENSMUSG00000001054.3	12.4179	11.6467	14.2618	15.0003
ENSMUSG00000001056.3	69.0281	72.2497	146.13	134.192
ENSMUSG00000001062.11	3.9131	3.41573	2.13294	1.93502
ENSMUSG00000001065.8	11.8762	14.0206	12.6362	11.4255
ENSMUSG00000001076.6	0	0	0	0
ENSMUSG00000001082.6	29.7541	26.6197	26.9213	28.4504
ENSMUSG00000001089.8	18.526	19.7071	29.2931	29.2896
ENSMUSG00000001095.5	0.0135321	0.0302536	0.336931	0.494783
ENSMUSG00000001098.8	59.3615	56.4667	209.242	196.694
ENSMUSG00000001100.4	49.7702	52.6819	54.9382	53.7101
ENSMUSG00000001103.6	0.0549079	0.0309012	0.131008	0.0653394
ENSMUSG00000001105.9	62.7476	65.1191	53.4927	45.9495
ENSMUSG00000001119.6	0.578267	0.54403	0.479232	0.496547
ENSMUSG00000001120.8	2.47389	2.15305	1.51629	2.41517
ENSMUSG00000001123.9	42.5356	40.6754	45.4389	65.8695
ENSMUSG00000001127.5	73.2208	72.4402	81.5801	84.1255
ENSMUSG00000001128.7	2.36243	2.02495	2.36527	1.66295
ENSMUSG00000001131.5	47.4223	50.9603	25.5421	26.3743
ENSMUSG00000001134.3	34.978	33.4574	42.2142	29.253
ENSMUSG00000001138.7	4.52162	5.4824	3.08711	3.18552
ENSMUSG00000001143.7	4.04898	4.33472	3.06645	3.98898
ENSMUSG00000001150.5	8.45822	8.78343	6.35577	6.88995
ENSMUSG00000001151.8	4.9144	4.91222	3.67016	3.92755
ENSMUSG00000001155.7	0.719171	0.390916	0.0260819	0.0614135
ENSMUSG00000001156.7	1.64295	1.808	1.17634	0.823545
ENSMUSG00000001157.7	23.5251	23.6352	23.6094	22.687
ENSMUSG00000001158.7	68.0295	60.0762	34.4946	34.4625
ENSMUSG00000001166.10	4.3389	4.64515	0.968283	1.25885
ENSMUSG00000001168.9	0.21815	0.4448	0.0324792	0
ENSMUSG00000001173.9	6.59366	7.17735	4.58867	5.42733
ENSMUSG00000001175.7	296.562	286.054	342.699	305.35
ENSMUSG00000001211.8	54.0567	52.3815	29.0501	32.4441
ENSMUSG00000001225.6	0	0	0	0
ENSMUSG00000001227.5	0.38442	0.483291	0.909446	0.548026
ENSMUSG00000001228.8	14.6625	15.0405	2.85755	2.17175
ENSMUSG00000001229.6	8.85202	9.37462	11.4643	13.0346
ENSMUSG00000001240.7	0.132675	0	0	0.0884516
ENSMUSG00000001247.9	67.492	68.2013	117.414	126.921
ENSMUSG00000001248.7	10.86	11.0942	11.5968	12.0302
ENSMUSG00000001249.8	0.151678	0.33064	0	0.211077
ENSMUSG00000001260.5	0	0	0	0
ENSMUSG00000001270.8	0.919388	0.768053	0.0842209	0
ENSMUSG00000001280.6	18.2003	17.5492	15.1317	18.9869
ENSMUSG00000001281.3	0.0241754	0.0135025	0.0286455	0
ENSMUSG00000001285.6	36.3951	37.3899	28.2848	27.2964
ENSMUSG00000001288.8	11.3055	12.4481	11.6158	14.6789
ENSMUSG00000001289.6	233.621	222.512	184.191	159.085
ENSMUSG00000001300.8	14.0821	14.4493	12.1979	11.8067
ENSMUSG00000001305.5	28.4011	29.6516	46.729	41.5913
ENSMUSG00000001313.6	6.14534	5.89212	3.88117	3.34078
ENSMUSG00000001323.10	8.92559	8.91937	14.3377	13.5711
ENSMUSG00000001333.8	0.170915	0.330091	0.108273	0.0995181
ENSMUSG00000001334.9	0.0349943	0.0521093	0.0414572	0.0687102
ENSMUSG00000001348.8	5.15541	4.88002	2.62858	2.95118
ENSMUSG00000001349.4	0.869981	0.370529	0.180123	0.325809
ENSMUSG00000001366.8	22.1136	20.9081	20.0813	20.1027
ENSMUSG00000001376.9	22.7318	23.4895	43.9913	40.8364
ENSMUSG00000001379.8	11.6484	11.3789	14.8592	13.9137
ENSMUSG00000001380.6	39.1443	38.9042	50.3837	46.2053
ENSMUSG00000001383.8	35.4718	33.1743	15.6489	13.3364
ENSMUSG00000001403.7	5.48636	5.58452	1.71354	3.4746
ENSMUSG00000001415.5	16.7176	16.5785	23.0343	22.0443
ENSMUSG00000001416.7	268.148	265.513	389.059	350.33
ENSMUSG00000001417.4	0.03035	0	0	0.0361822
ENSMUSG00000001418.6	53.0187	53.8522	65.0101	66.2304
ENSMUSG00000001419.10	4.27267	4.66229	3.4483	5.14343
ENSMUSG00000001420.7	1.15337	1.31592	0.627456	0.864266
ENSMUSG00000001424.7	245.068	293.3	318.898	349.685
ENSMUSG00000001435.8	118.243	120.019	123.933	131.78
ENSMUSG00000001436.9	11.3137	8.53613	12.2524	12.1564
ENSMUSG00000001440.5	104.777	99.9831	153.746	147.027
ENSMUSG00000001441.7	13.8565	16.4168	27.3396	27.9927
ENSMUSG00000001444.2	0	0	0	0
ENSMUSG00000001445.4	28.5728	27.8472	29.6745	28.0252
ENSMUSG00000001467.4	5.55269	5.23539	9.36038	10.4351
ENSMUSG00000001472.9	74.8983	77.3883	79.9032	82.3592
ENSMUSG00000001473.6	22.0367	23.4282	30.6204	29.6503
ENSMUSG00000001482.8	14.5457	15.0559	5.25108	4.70298
ENSMUSG00000001493.9	0.132945	0.148704	0.0876177	0
ENSMUSG00000001494.5	0	0	0	0
ENSMUSG00000001496.7	0	0	0	0
ENSMUSG00000001497.11	0.0150343	0.0251349	0	0
ENSMUSG00000001504.8	0	0	0	0
ENSMUSG00000001506.9	0.0540083	0.314737	0.0365823	0.290206
